Model,Avg_Score,CriticEval_obj,CriticEval_sub,CriticBench
low,2.35,49.82,4.06,1.2
medium,5.11,36.15,4.19,43.15
medium_v4,-,56.91,4.45,69.97
high,7.10,22.15,4.27,45.91
overall(0.333-0.333-0.333),4.94,58.36,,50.67
,,,,
overall_(0-1-0),-,56.91,4.45,69.97
overall_v5(0.1-0.8-0.1),-,62.62,4.43,65.13
overall_v4(0.2-0.6-0.2),-,56.98,4.37,71.76
overall_v3(0.25-0.5-0.25),-,57.46,4.32,66.41
overall_v6(0.3-0.4-0.3),-,52.85,4.37,67.45
overall_v7(0.4-0.2-0.4),-,49.50,4.23,68.70
overall_v8(0.5-0.0-0.5),-,53.67,4.19,70.94
